# x0 = y0, u0, v0, t, x, u, v, delta0.05,	0.05,	0.05,	2.2262,	0.0137983,	-0.0406399,	0.0452796,	1.86803e-07
0.05,	0.05,	0.07,	2.00494,	0.0123633,	-0.02083,	0.0655064,	4.32654e-07
0.05,	0.06,	0.07,	4.26257,	0.02613,	-0.00866447,	0.122916,	0.122539
0.05,	0.07,	0.07,	3.47703,	0.0209934,	-0.00758866,	0.131992,	0.091074
0.05,	0.08,	0.07,	3.69688,	0.0221283,	-0.0073554,	0.137819,	0.0772359
0.05,	0.09,	0.07,	2.00045,	0.011756,	-0.00673927,	0.148415,	0.0349574
0.05,	0.1,	0.07,	9.08938,	0.0351449,	-0.274379,	0.29239,	2.52932e-07
0.05,	0.11,	0.07,	2.01493,	0.0113518,	-0.12035,	0.126427,	2.78049e-07
0.05,	0.12,	0.07,	2.03899,	0.0114823,	-0.129731,	0.117165,	1.26722e-07
0.05,	0.13,	0.07,	7.94658,	0.0525124,	-0.142634,	0.00940463,	1.93172e-07
0.05,	0.14,	0.07,	7.8529,	0.0522722,	-0.0140035,	0.136824,	2.96057e-07
0.05,	0.15,	0.07,	2.00347,	0.0138109,	-0.0545228,	0.0871025,	6.4671e-08
0.05,	0.16,	0.07,	8,	0.05,	-0.16,	0.07,	0.137658
0.05,	0.17,	0.07,	2.00092,	0.0108284,	-0.243743,	0.0493564,	0.0186727
0.05,	0.18,	0.07,	9.64719,	0.0433862,	-0.226152,	0.226152,	3.28397e-07
0.05,	0.19,	0.07,	5.45428,	0.0321627,	-0.262453,	0.00476177,	0.250221
0.05,	0.2,	0.07,	8.04341,	0.0664044,	-0.00970206,	0.10437,	0.227689
0.05,	0.21,	0.07,	7.22812,	0.0583811,	-0.0101812,	0.114118,	0.191113
0.05,	0.22,	0.07,	11.1637,	0.0648918,	-0.223867,	0.168096,	2.98125e-07
0.05,	0.23,	0.07,	10.4444,	0.0623579,	-0.21791,	0.158166,	1.19909e-07
0.05,	0.24,	0.07,	8.15084,	0.0436385,	-0.280687,	0.12273,	2.93464e-07
